image_id,width,height,numerosity,TSA,FA,CH,cumArea,role,pair_num,target_low,target_high,pair_ratio,image_file,position,greater_role,greater_side,pair_order
9157,100,100,12,2357.79736328125,13078.7060546875,13073,2364,partner,38,0.8,0.9,0.8571428571428571,paired_images/img_09157.png,right,anchor,left,34
17966,100,100,22,3796.51123046875,14891.1416015625,14892,3278,anchor,204,0.7,0.8,0.7272727272727273,paired_images/img_17966.png,left,anchor,left,35
12600,100,100,16,2722.5498046875,21357.4375,17029,2384,partner,204,0.7,0.8,0.7272727272727273,paired_images/img_12600.png,right,anchor,left,35
21246,100,100,28,4042.653564453125,19978.052734375,18180,4172,anchor,241,0.6,0.7,0.6428571428571429,paired_images/img_21246.png,left,anchor,left,36
13773,100,100,18,2291.968994140625,24000,17782,2034,partner,241,0.6,0.7,0.6428571428571429,paired_images/img_13773.png,right,anchor,left,36
4140,100,100,9,2041.912353515625,15119.052734375,8826,1773,anchor,32,0.8,0.9,0.8181818181818182,paired_images/img_04140.png,left,partner,right,37
7101,100,100,11,1898.255615234375,14891.1416015625,11448,1639,partner,32,0.8,0.9,0.8181818181818182,paired_images/img_07101.png,right,partner,right,37
2785,100,100,8,2289.38232421875,10678.71875,7570,2536,anchor,106,0.8,0.9,0.8888888888888888,paired_images/img_02785.png,left,partner,right,38
3416,100,100,9,1529.705810546875,10090.7568359375,7286,1341,partner,106,0.8,0.9,0.8888888888888888,paired_images/img_03416.png,right,partner,right,38
8067,100,100,11,3013.29296875,9380.8310546875,8013,2783,anchor,121,0.7,0.8,0.7272727272727273,paired_images/img_08067.png,left,anchor,left,39
2114,100,100,8,1715.098876953125,9513.6572265625,7234,1576,partner,121,0.7,0.8,0.7272727272727273,paired_images/img_02114.png,right,anchor,left,39
14692,100,100,18,3638.274169921875,12000,11898,3546,anchor,283,0.5,0.6,0.5,paired_images/img_14692.png,left,anchor,left,40
4637,100,100,9,2572.6484375,13469.544921875,9536,2853,partner,283,0.5,0.6,0.5,paired_images/img_04637.png,right,anchor,left,40
15479,100,100,20,2559.607177734375,12649.1103515625,11514,2260,anchor,223,0.6,0.7,0.6,paired_images/img_15479.png,left,anchor,left,41
9999,100,100,12,3334.428955078125,18496.083984375,15501,3036,partner,223,0.6,0.7,0.6,paired_images/img_09999.png,right,anchor,left,41
14867,100,100,18,3854.6171875,15119.052734375,14628,3546,anchor,148,0.7,0.8,0.72,paired_images/img_14867.png,left,partner,right,42
19478,100,100,25,3605.55126953125,25198.421875,24069,3725,partner,148,0.7,0.8,0.72,paired_images/img_19478.png,right,partner,right,42
7827,100,100,11,2684.538818359375,10529.626953125,8610,2783,anchor,85,0.8,0.9,0.8181818181818182,paired_images/img_07827.png,left,anchor,left,43
3492,100,100,9,1529.705810546875,16018.078125,12016,1341,partner,85,0.8,0.9,0.8181818181818182,paired_images/img_03492.png,right,anchor,left,43
13479,100,100,16,4079.215576171875,17959.392578125,16767,4048,anchor,67,0.8,0.9,0.875,paired_images/img_13479.png,left,anchor,left,44
11144,100,100,14,2858.587646484375,17798.421875,14213,2758,partner,67,0.8,0.9,0.875,paired_images/img_11144.png,right,anchor,left,44
5828,100,100,10,2152.364501953125,15936.880859375,13456,1970,anchor,10,0.8,0.9,0.8,paired_images/img_05828.png,left,anchor,left,45
2943,100,100,8,2425.51611328125,12699.2080078125,11618,2536,partner,10,0.8,0.9,0.8,paired_images/img_02943.png,right,anchor,left,45
1843,100,100,8,1527.9793701171875,8979.6962890625,7095,1576,anchor,274,0.5,0.6,0.5714285714285714,paired_images/img_01843.png,left,partner,right,46
